,ORIGIN_AIRPORT,delay,date
1805,EWR,100,2015-12-24
1806,FAI,3,2015-12-24
1807,FAR,10,2015-12-24
1808,FAT,10,2015-12-24
1809,FAY,1,2015-12-24
1810,FCA,1,2015-12-24
1811,FLG,3,2015-12-24
1812,FLL,109,2015-12-24
1813,FNT,9,2015-12-24
1814,FSD,8,2015-12-24
1815,FSM,2,2015-12-24
1816,FWA,10,2015-12-24
1817,GCC,1,2015-12-24
1818,GCK,1,2015-12-24
1819,GEG,12,2015-12-24
1820,GFK,2,2015-12-24
1821,GGG,1,2015-12-24
1822,GJT,7,2015-12-24
1823,GNV,3,2015-12-24
1824,GPT,5,2015-12-24
1825,GRB,8,2015-12-24
1826,GRI,1,2015-12-24
1827,GRK,6,2015-12-24
1828,GRR,16,2015-12-24
1829,GSO,3,2015-12-24
1830,GSP,5,2015-12-24
1831,GTF,4,2015-12-24
1832,HDN,5,2015-12-24
1833,HIB,2,2015-12-24
1834,HLN,2,2015-12-24
1835,HNL,91,2015-12-24
1836,HOB,2,2015-12-24
1837,HOU,51,2015-12-24
1838,HPN,2,2015-12-24
1839,HRL,6,2015-12-24
1840,HSV,4,2015-12-24
1841,HYS,2,2015-12-24
1842,IAD,36,2015-12-24
1843,IAG,1,2015-12-24
1844,IAH,192,2015-12-24
1845,ICT,12,2015-12-24
1846,IDA,3,2015-12-24
1847,ILM,2,2015-12-24
1848,IMT,2,2015-12-24
1849,IND,32,2015-12-24
1850,INL,2,2015-12-24
1851,ISN,3,2015-12-24
1852,ISP,6,2015-12-24
1853,ITH,1,2015-12-24
1854,ITO,10,2015-12-24
1855,JAC,6,2015-12-24
1856,JAN,7,2015-12-24
1857,JAX,24,2015-12-24
1858,JFK,85,2015-12-24
1859,JLN,1,2015-12-24
1860,JMS,3,2015-12-24
1861,JNU,8,2015-12-24
1862,KOA,25,2015-12-24
1863,KTN,6,2015-12-24
1864,LAN,4,2015-12-24
1865,LAR,1,2015-12-24
1866,LAS,147,2015-12-24
1867,LAW,3,2015-12-24
1868,LAX,195,2015-12-24
1869,LBB,8,2015-12-24
1870,LBE,2,2015-12-24
1871,LCH,4,2015-12-24
1872,LEX,7,2015-12-24
1873,LFT,6,2015-12-24
1874,LGA,94,2015-12-24
1875,LGB,11,2015-12-24
1876,LIH,25,2015-12-24
1877,LIT,19,2015-12-24
1878,LNK,2,2015-12-24
1879,LRD,3,2015-12-24
1880,LSE,5,2015-12-24
1881,LWS,2,2015-12-24
1882,MAF,10,2015-12-24
1883,MBS,4,2015-12-24
1884,MCI,48,2015-12-24
1885,MCO,155,2015-12-24
1886,MDT,3,2015-12-24
1887,MDW,75,2015-12-24
1888,MEM,20,2015-12-24
1889,MFE,6,2015-12-24
1890,MFR,3,2015-12-24
1891,MGM,2,2015-12-24
1892,MHK,3,2015-12-24
1893,MHT,9,2015-12-24
1894,MIA,125,2015-12-24
1895,MKE,43,2015-12-24
1896,MKG,2,2015-12-24
1897,MLB,1,2015-12-24
1898,MLI,6,2015-12-24
1899,MLU,4,2015-12-24
1900,MOB,5,2015-12-24
1901,MOT,3,2015-12-24
1902,MRY,3,2015-12-24
1903,MSN,13,2015-12-24
1904,MSO,3,2015-12-24
1905,MSP,140,2015-12-24
1906,MSY,47,2015-12-24
1907,MTJ,4,2015-12-24
1908,MYR,5,2015-12-24
1909,OAK,30,2015-12-24
1910,OGG,42,2015-12-24
1911,OKC,27,2015-12-24
1912,OMA,14,2015-12-24
1913,ONT,23,2015-12-24
1914,ORD,439,2015-12-24
1915,ORF,9,2015-12-24
1916,ORH,2,2015-12-24
1917,OTH,1,2015-12-24
1918,OTZ,1,2015-12-24
1919,PAH,2,2015-12-24
1920,PBG,1,2015-12-24
1921,PBI,43,2015-12-24
1922,PDX,87,2015-12-24
1923,PHL,48,2015-12-24
1924,PHX,188,2015-12-24
1925,PIA,8,2015-12-24
1926,PIB,1,2015-12-24
1927,PIH,1,2015-12-24
1928,PIT,32,2015-12-24
1929,PLN,2,2015-12-24
1930,PNS,5,2015-12-24
1931,PSC,6,2015-12-24
1932,PSE,1,2015-12-24
1933,PSG,2,2015-12-24
1934,PSP,21,2015-12-24
1935,PVD,14,2015-12-24
1936,PWM,8,2015-12-24
1937,RAP,5,2015-12-24
1938,RDD,1,2015-12-24
1939,RDM,6,2015-12-24
1940,RDU,32,2015-12-24
1941,RHI,2,2015-12-24
1942,RIC,14,2015-12-24
1943,RKS,2,2015-12-24
1944,RNO,11,2015-12-24
1945,ROA,1,2015-12-24
1946,ROC,13,2015-12-24
1947,ROW,2,2015-12-24
1948,RST,3,2015-12-24
1949,RSW,55,2015-12-24
1950,SAF,1,2015-12-24
1951,SAN,91,2015-12-24
1952,SAT,43,2015-12-24
1953,SAV,6,2015-12-24
1954,SBA,9,2015-12-24
1955,SBN,7,2015-12-24
1956,SBP,4,2015-12-24
1957,SCC,1,2015-12-24
1958,SCE,2,2015-12-24
1959,SDF,12,2015-12-24
1960,SEA,187,2015-12-24
1961,SFO,124,2015-12-24
1962,SGF,10,2015-12-24
1963,SGU,3,2015-12-24
1964,SHV,7,2015-12-24
1965,SIT,2,2015-12-24
1966,SJC,26,2015-12-24
1967,SJT,4,2015-12-24
1968,SJU,37,2015-12-24
1969,SLC,128,2015-12-24
1970,SMF,32,2015-12-24
1971,SMX,2,2015-12-24
1972,SNA,40,2015-12-24
1973,SPI,4,2015-12-24
1974,SPS,2,2015-12-24
1975,SRQ,7,2015-12-24
1976,STL,50,2015-12-24
1977,STT,7,2015-12-24
1978,STX,2,2015-12-24
1979,SUN,1,2015-12-24
1980,SUX,2,2015-12-24
1981,SWF,2,2015-12-24
1982,SYR,8,2015-12-24
1983,TLH,3,2015-12-24
1984,TOL,3,2015-12-24
1985,TPA,97,2015-12-24
1986,TTN,5,2015-12-24
1987,TUL,22,2015-12-24
1988,TUS,28,2015-12-24
1989,TVC,6,2015-12-24
1990,TWF,1,2015-12-24
1991,TXK,2,2015-12-24
1992,TYR,4,2015-12-24
1993,TYS,7,2015-12-24
1994,VLD,1,2015-12-24
1995,VPS,4,2015-12-24
1996,WRG,2,2015-12-24
1997,XNA,12,2015-12-24
1998,YAK,2,2015-12-24
1999,YUM,5,2015-12-24
2000,ABI,5,2015-12-25
2001,ABQ,22,2015-12-25
2002,ACT,4,2015-12-25
2003,ACV,3,2015-12-25
2004,ACY,8,2015-12-25
2005,AEX,1,2015-12-25
2006,AGS,2,2015-12-25
2007,ALB,16,2015-12-25
2008,ALO,1,2015-12-25
2009,AMA,5,2015-12-25
2010,ANC,22,2015-12-25
2011,APN,1,2015-12-25
2012,ASE,2,2015-12-25
2013,ATL,278,2015-12-25
2014,ATW,3,2015-12-25
2015,AUS,65,2015-12-25
2016,AVL,2,2015-12-25
2017,AVP,2,2015-12-25
2018,AZO,5,2015-12-25
2019,BDL,33,2015-12-25
2020,BFL,4,2015-12-25
2021,BGM,1,2015-12-25
2022,BHM,7,2015-12-25
2023,BIL,3,2015-12-25
2024,BIS,4,2015-12-25
2025,BJI,1,2015-12-25
2026,BLI,3,2015-12-25
2027,BMI,4,2015-12-25
2028,BNA,46,2015-12-25
2029,BOI,14,2015-12-25
2030,BOS,141,2015-12-25
2031,BPT,3,2015-12-25
2032,BQN,3,2015-12-25
2033,BRD,2,2015-12-25
2034,BRO,4,2015-12-25
2035,BRW,1,2015-12-25
2036,BTM,1,2015-12-25
2037,BTR,9,2015-12-25
2038,BTV,5,2015-12-25
2039,BUF,27,2015-12-25
2040,BUR,20,2015-12-25
2041,BWI,99,2015-12-25
2042,BZN,6,2015-12-25
2043,CAE,5,2015-12-25
2044,CAK,7,2015-12-25
2045,CHA,4,2015-12-25
2046,CHO,1,2015-12-25
2047,CHS,20,2015-12-25
2048,CID,2,2015-12-25
2049,CIU,1,2015-12-25
2050,CLE,48,2015-12-25
2051,CLL,4,2015-12-25
2052,CLT,172,2015-12-25
2053,CMH,37,2015-12-25
2054,CMI,6,2015-12-25
2055,CMX,2,2015-12-25
2056,COS,10,2015-12-25
2057,COU,3,2015-12-25
2058,CPR,2,2015-12-25
2059,CRP,2,2015-12-25
2060,CRW,3,2015-12-25
2061,CVG,24,2015-12-25
2062,CWA,3,2015-12-25
2063,DAB,3,2015-12-25
2064,DAL,67,2015-12-25
2065,DAY,14,2015-12-25
2066,DBQ,2,2015-12-25
2067,DCA,90,2015-12-25
2068,DEN,166,2015-12-25
2069,DFW,373,2015-12-25
2070,DHN,2,2015-12-25
2071,DLH,4,2015-12-25
2072,DSM,14,2015-12-25
2073,DTW,115,2015-12-25
2074,DVL,1,2015-12-25
2075,ECP,5,2015-12-25
2076,EKO,1,2015-12-25
2077,ELM,2,2015-12-25
2078,ELP,20,2015-12-25
2079,ESC,2,2015-12-25
2080,EUG,4,2015-12-25
2081,EVV,4,2015-12-25
2082,EWR,109,2015-12-25
2083,EYW,3,2015-12-25
2084,FAI,3,2015-12-25
2085,FAR,11,2015-12-25
2086,FAT,12,2015-12-25
2087,FAY,1,2015-12-25
2088,FCA,2,2015-12-25
2089,FLG,4,2015-12-25
2090,FLL,164,2015-12-25
2091,FNT,8,2015-12-25
2092,FSD,4,2015-12-25
2093,FSM,4,2015-12-25
2094,FWA,9,2015-12-25
2095,GCC,1,2015-12-25
2096,GCK,1,2015-12-25
2097,GEG,14,2015-12-25
2098,GFK,1,2015-12-25
2099,GGG,2,2015-12-25
2100,GJT,2,2015-12-25
2101,GNV,6,2015-12-25
2102,GPT,5,2015-12-25
2103,GRB,7,2015-12-25
2104,GRI,1,2015-12-25
2105,GRK,6,2015-12-25
2106,GRR,16,2015-12-25
2107,GSO,5,2015-12-25
2108,GSP,6,2015-12-25
2109,GTF,2,2015-12-25
2110,GUC,1,2015-12-25
2111,GUM,1,2015-12-25
2112,HDN,4,2015-12-25
2113,HIB,3,2015-12-25
2114,HLN,1,2015-12-25
2115,HNL,106,2015-12-25
2116,HOB,1,2015-12-25
2117,HOU,54,2015-12-25
2118,HPN,10,2015-12-25
2119,HRL,6,2015-12-25
2120,HSV,1,2015-12-25
2121,HYS,1,2015-12-25
2122,IAD,42,2015-12-25
2123,IAG,1,2015-12-25
2124,IAH,172,2015-12-25
2125,ICT,13,2015-12-25
2126,IDA,1,2015-12-25
2127,ILM,3,2015-12-25
2128,IMT,2,2015-12-25
2129,IND,37,2015-12-25
2130,INL,2,2015-12-25
2131,ISN,2,2015-12-25
2132,ISP,11,2015-12-25
2133,ITH,1,2015-12-25
2134,ITO,13,2015-12-25
2135,JAC,8,2015-12-25
2136,JAN,11,2015-12-25
2137,JAX,39,2015-12-25
2138,JFK,104,2015-12-25
2139,JLN,1,2015-12-25
2140,JMS,2,2015-12-25
2141,JNU,4,2015-12-25
2142,KOA,29,2015-12-25
2143,KTN,4,2015-12-25
2144,LAN,3,2015-12-25
2145,LAS,192,2015-12-25
2146,LAW,2,2015-12-25
2147,LAX,230,2015-12-25
2148,LBB,8,2015-12-25
2149,LBE,1,2015-12-25
2150,LCH,4,2015-12-25
2151,LEX,5,2015-12-25
2152,LFT,7,2015-12-25
2153,LGA,120,2015-12-25
2154,LGB,13,2015-12-25
2155,LIH,30,2015-12-25
2156,LIT,19,2015-12-25
2157,LNK,2,2015-12-25
2158,LRD,3,2015-12-25
2159,LSE,4,2015-12-25
2160,LWS,1,2015-12-25
2161,MAF,4,2015-12-25
2162,MBS,3,2015-12-25
2163,MCI,47,2015-12-25
2164,MCO,192,2015-12-25
2165,MDT,3,2015-12-25
2166,MDW,85,2015-12-25
2167,MEI,2,2015-12-25
2168,MEM,19,2015-12-25
2169,MFE,3,2015-12-25
2170,MFR,3,2015-12-25
2171,MGM,4,2015-12-25
2172,MHK,5,2015-12-25
2173,MHT,9,2015-12-25
2174,MIA,116,2015-12-25
2175,MKE,44,2015-12-25
2176,MKG,1,2015-12-25
2177,MLB,3,2015-12-25
2178,MLI,8,2015-12-25
2179,MLU,4,2015-12-25
2180,MOB,9,2015-12-25
2181,MOT,2,2015-12-25
2182,MQT,2,2015-12-25
2183,MRY,3,2015-12-25
2184,MSN,15,2015-12-25
2185,MSO,3,2015-12-25
2186,MSP,103,2015-12-25
2187,MSY,53,2015-12-25
2188,MTJ,3,2015-12-25
2189,MYR,7,2015-12-25
2190,OAJ,1,2015-12-25
2191,OAK,39,2015-12-25
2192,OGG,54,2015-12-25
2193,OKC,26,2015-12-25
2194,OMA,22,2015-12-25
2195,ONT,23,2015-12-25
2196,ORD,401,2015-12-25
2197,ORF,13,2015-12-25
2198,ORH,1,2015-12-25
2199,PAH,1,2015-12-25
2200,PBG,1,2015-12-25
2201,PBI,56,2015-12-25
2202,PDX,88,2015-12-25
2203,PHL,79,2015-12-25
2204,PHX,172,2015-12-25
2205,PIA,10,2015-12-25
2206,PIB,2,2015-12-25
2207,PIH,1,2015-12-25
2208,PIT,35,2015-12-25
2209,PLN,2,2015-12-25
2210,PNS,6,2015-12-25
2211,PPG,1,2015-12-25
2212,PSC,5,2015-12-25
2213,PSE,2,2015-12-25
2214,PSP,18,2015-12-25
2215,PVD,22,2015-12-25
2216,PWM,7,2015-12-25
2217,RAP,7,2015-12-25
2218,RDD,1,2015-12-25
2219,RDM,3,2015-12-25
2220,RDU,48,2015-12-25
2221,RHI,2,2015-12-25
2222,RIC,25,2015-12-25
2223,RKS,1,2015-12-25
2224,RNO,15,2015-12-25
2225,ROA,3,2015-12-25
2226,ROC,12,2015-12-25
2227,ROW,1,2015-12-25
2228,RST,3,2015-12-25
2229,RSW,77,2015-12-25
2230,SAF,2,2015-12-25
2231,SAN,96,2015-12-25
2232,SAT,47,2015-12-25
2233,SAV,13,2015-12-25
2234,SBA,7,2015-12-25
2235,SBN,7,2015-12-25
2236,SBP,4,2015-12-25
2237,SCC,1,2015-12-25
2238,SCE,1,2015-12-25
2239,SDF,15,2015-12-25
2240,SEA,162,2015-12-25
2241,SFO,196,2015-12-25
2242,SGF,12,2015-12-25
2243,SHV,11,2015-12-25
2244,SIT,2,2015-12-25
2245,SJC,30,2015-12-25
2246,SJT,4,2015-12-25
2247,SJU,49,2015-12-25
2248,SLC,71,2015-12-25
2249,SMF,41,2015-12-25
2250,SMX,1,2015-12-25
2251,SNA,44,2015-12-25
2252,SPI,3,2015-12-25
2253,SPS,2,2015-12-25
2254,SRQ,5,2015-12-25
2255,STL,68,2015-12-25
2256,STT,11,2015-12-25
2257,STX,3,2015-12-25
2258,SUX,2,2015-12-25
2259,SWF,2,2015-12-25
2260,SYR,13,2015-12-25
2261,TLH,5,2015-12-25
2262,TOL,2,2015-12-25
2263,TPA,127,2015-12-25
2264,TRI,3,2015-12-25
2265,TTN,1,2015-12-25
2266,TUL,15,2015-12-25
2267,TUS,33,2015-12-25
2268,TVC,4,2015-12-25
2269,TWF,1,2015-12-25
2270,TXK,1,2015-12-25
2271,TYR,3,2015-12-25
2272,TYS,9,2015-12-25
2273,VLD,1,2015-12-25
2274,VPS,7,2015-12-25
2275,XNA,10,2015-12-25
2276,YUM,4,2015-12-25
2277,ABE,1,2015-12-26
2278,ABI,4,2015-12-26
2279,ABQ,15,2015-12-26
2280,ABY,1,2015-12-26
2281,ACT,3,2015-12-26
2282,ACV,4,2015-12-26
2283,ACY,6,2015-12-26
2284,ADQ,1,2015-12-26
2285,AEX,5,2015-12-26
2286,AGS,5,2015-12-26
2287,ALB,15,2015-12-26
2288,ALO,1,2015-12-26
2289,AMA,4,2015-12-26
2290,ANC,38,2015-12-26
2291,APN,1,2015-12-26
2292,ASE,1,2015-12-26
2293,ATL,332,2015-12-26
2294,ATW,5,2015-12-26
2295,AUS,49,2015-12-26
2296,AVL,5,2015-12-26
2297,AVP,3,2015-12-26
2298,AZO,4,2015-12-26
2299,BDL,25,2015-12-26
2300,BET,1,2015-12-26
2301,BFL,4,2015-12-26
2302,BGM,1,2015-12-26
2303,BHM,4,2015-12-26
2304,BIL,6,2015-12-26
2305,BIS,6,2015-12-26
2306,BLI,1,2015-12-26
2307,BMI,6,2015-12-26
2308,BNA,65,2015-12-26
2309,BOI,20,2015-12-26
2310,BOS,107,2015-12-26
2311,BPT,2,2015-12-26
2312,BQK,1,2015-12-26
2313,BQN,3,2015-12-26
2314,BRO,6,2015-12-26
2315,BRW,2,2015-12-26
2316,BTM,1,2015-12-26
2317,BTR,10,2015-12-26
2318,BTV,8,2015-12-26
2319,BUF,25,2015-12-26
2320,BUR,25,2015-12-26
2321,BWI,105,2015-12-26
2322,BZN,3,2015-12-26
2323,CAE,8,2015-12-26
2324,CAK,12,2015-12-26
2325,CDC,1,2015-12-26
2326,CDV,2,2015-12-26
2327,CHA,4,2015-12-26
2328,CHO,2,2015-12-26
2329,CHS,18,2015-12-26
2330,CID,9,2015-12-26
2331,CIU,2,2015-12-26
2332,CLE,39,2015-12-26
2333,CLL,2,2015-12-26
2334,CLT,71,2015-12-26
2335,CMH,35,2015-12-26
2336,CMI,4,2015-12-26
2337,CMX,1,2015-12-26
2338,COS,8,2015-12-26
2339,COU,1,2015-12-26
2340,CPR,1,2015-12-26
2341,CRP,2,2015-12-26
2342,CRW,2,2015-12-26
2343,CSG,1,2015-12-26
2344,CVG,27,2015-12-26
2345,CWA,3,2015-12-26
2346,DAB,4,2015-12-26
2347,DAL,48,2015-12-26
2348,DAY,13,2015-12-26
2349,DBQ,1,2015-12-26
2350,DCA,92,2015-12-26
2351,DEN,117,2015-12-26
2352,DFW,225,2015-12-26
2353,DHN,2,2015-12-26
2354,DLH,5,2015-12-26
2355,DRO,2,2015-12-26
2356,DSM,9,2015-12-26
2357,DTW,128,2015-12-26
2358,DVL,1,2015-12-26
2359,ECP,8,2015-12-26
2360,EGE,4,2015-12-26
2361,EKO,1,2015-12-26
2362,ELM,2,2015-12-26
2363,ELP,17,2015-12-26
2364,ERI,1,2015-12-26
2365,ESC,1,2015-12-26
2366,EUG,8,2015-12-26
2367,EVV,3,2015-12-26
2368,EWN,1,2015-12-26
2369,EWR,136,2015-12-26
2370,EYW,6,2015-12-26
2371,FAI,5,2015-12-26
2372,FAR,11,2015-12-26
2373,FAT,10,2015-12-26
2374,FAY,2,2015-12-26
2375,FCA,4,2015-12-26
2376,FLG,4,2015-12-26
2377,FLL,114,2015-12-26
2378,FNT,7,2015-12-26
2379,FSD,2,2015-12-26
2380,FSM,3,2015-12-26
2381,FWA,10,2015-12-26
2382,GCK,1,2015-12-26
2383,GEG,11,2015-12-26
2384,GFK,1,2015-12-26
2385,GGG,2,2015-12-26
2386,GJT,7,2015-12-26
2387,GNV,4,2015-12-26
2388,GPT,6,2015-12-26
2389,GRB,7,2015-12-26
2390,GRK,9,2015-12-26
2391,GRR,11,2015-12-26
2392,GSO,6,2015-12-26
2393,GSP,10,2015-12-26
2394,GTF,2,2015-12-26
2395,GTR,1,2015-12-26
2396,GUC,2,2015-12-26
2397,HDN,6,2015-12-26
2398,HIB,1,2015-12-26
2399,HLN,3,2015-12-26
2400,HNL,70,2015-12-26
2401,HOB,1,2015-12-26
2402,HOU,34,2015-12-26
2403,HPN,2,2015-12-26
2404,HRL,5,2015-12-26
2405,HSV,6,2015-12-26
2406,IAD,38,2015-12-26
2407,IAG,1,2015-12-26
2408,IAH,173,2015-12-26
2409,ICT,12,2015-12-26
2410,IDA,7,2015-12-26
2411,ILM,2,2015-12-26
2412,IMT,1,2015-12-26
2413,IND,41,2015-12-26
2414,INL,1,2015-12-26
2415,ISN,1,2015-12-26
2416,ISP,7,2015-12-26
2417,ITH,1,2015-12-26
2418,ITO,7,2015-12-26
2419,JAC,8,2015-12-26
2420,JAN,11,2015-12-26
2421,JAX,38,2015-12-26
2422,JFK,89,2015-12-26
2423,JMS,1,2015-12-26
2424,JNU,9,2015-12-26
2425,KOA,21,2015-12-26
2426,KTN,4,2015-12-26
2427,LAN,3,2015-12-26
2428,LAS,140,2015-12-26
2429,LAW,2,2015-12-26
2430,LAX,206,2015-12-26
2431,LBB,7,2015-12-26
2432,LBE,2,2015-12-26
2433,LCH,3,2015-12-26
2434,LEX,6,2015-12-26
2435,LFT,5,2015-12-26
2436,LGA,110,2015-12-26
2437,LGB,19,2015-12-26
2438,LIH,20,2015-12-26
2439,LIT,7,2015-12-26
2440,LNK,1,2015-12-26
2441,LRD,3,2015-12-26
2442,LSE,3,2015-12-26
2443,LWS,1,2015-12-26
2444,MAF,4,2015-12-26
2445,MBS,3,2015-12-26
2446,MCI,37,2015-12-26
2447,MCO,141,2015-12-26
2448,MDT,5,2015-12-26
2449,MDW,80,2015-12-26
2450,MEI,1,2015-12-26
2451,MEM,15,2015-12-26
2452,MFE,4,2015-12-26
2453,MFR,4,2015-12-26
2454,MGM,3,2015-12-26
2455,MHK,3,2015-12-26
2456,MHT,9,2015-12-26
2457,MIA,93,2015-12-26
2458,MKE,42,2015-12-26
2459,MLB,2,2015-12-26
2460,MLI,3,2015-12-26
2461,MLU,6,2015-12-26
2462,MOB,11,2015-12-26
2463,MOT,3,2015-12-26
2464,MQT,2,2015-12-26
2465,MRY,3,2015-12-26
2466,MSN,14,2015-12-26
2467,MSO,3,2015-12-26
2468,MSP,119,2015-12-26
2469,MSY,51,2015-12-26
2470,MTJ,2,2015-12-26
2471,MYR,5,2015-12-26
2472,OAJ,1,2015-12-26
2473,OAK,48,2015-12-26
2474,OGG,25,2015-12-26
2475,OKC,13,2015-12-26
2476,OMA,21,2015-12-26
2477,OME,2,2015-12-26
2478,ONT,21,2015-12-26
2479,ORD,326,2015-12-26
2480,ORF,11,2015-12-26
2481,ORH,1,2015-12-26
2482,OTZ,2,2015-12-26
2483,PAH,1,2015-12-26
2484,PBG,1,2015-12-26
2485,PBI,25,2015-12-26
2486,PDX,77,2015-12-26
2487,PHF,2,2015-12-26
2488,PHL,62,2015-12-26
2489,PHX,223,2015-12-26
2490,PIA,7,2015-12-26
2491,PIB,1,2015-12-26
2492,PIH,1,2015-12-26
2493,PIT,28,2015-12-26
2494,PLN,1,2015-12-26
2495,PNS,7,2015-12-26
2496,PSC,1,2015-12-26
2497,PSE,3,2015-12-26
2498,PSG,1,2015-12-26
2499,PSP,18,2015-12-26
2500,PVD,20,2015-12-26
2501,PWM,11,2015-12-26
2502,RAP,1,2015-12-26
2503,RDD,2,2015-12-26
2504,RDM,4,2015-12-26
2505,RDU,38,2015-12-26
2506,RIC,12,2015-12-26
2507,RNO,13,2015-12-26
2508,ROA,3,2015-12-26
2509,ROC,11,2015-12-26
2510,ROW,1,2015-12-26
2511,RST,4,2015-12-26
2512,RSW,62,2015-12-26
2513,SAF,2,2015-12-26
2514,SAN,108,2015-12-26
2515,SAT,39,2015-12-26
2516,SAV,10,2015-12-26
2517,SBA,6,2015-12-26
2518,SBN,9,2015-12-26
2519,SBP,2,2015-12-26
2520,SCC,3,2015-12-26
2521,SCE,3,2015-12-26
2522,SDF,15,2015-12-26
2523,SEA,182,2015-12-26
2524,SFO,219,2015-12-26
2525,SGF,3,2015-12-26
2526,SGU,3,2015-12-26
2527,SHV,13,2015-12-26
2528,SIT,3,2015-12-26
2529,SJC,49,2015-12-26
2530,SJT,2,2015-12-26
2531,SJU,40,2015-12-26
2532,SLC,117,2015-12-26
2533,SMF,41,2015-12-26
2534,SMX,2,2015-12-26
2535,SNA,44,2015-12-26
2536,SPI,1,2015-12-26
2537,SPS,3,2015-12-26
2538,SRQ,5,2015-12-26
2539,STL,26,2015-12-26
2540,STT,11,2015-12-26
2541,STX,2,2015-12-26
2542,SUN,2,2015-12-26
2543,SUX,1,2015-12-26
2544,SWF,1,2015-12-26
2545,SYR,12,2015-12-26
2546,TLH,1,2015-12-26
2547,TOL,2,2015-12-26
2548,TPA,102,2015-12-26
2549,TRI,2,2015-12-26
2550,TTN,1,2015-12-26
2551,TUL,15,2015-12-26
2552,TUS,29,2015-12-26
2553,TVC,3,2015-12-26
2554,TWF,2,2015-12-26
2555,TXK,1,2015-12-26
2556,TYR,1,2015-12-26
2557,TYS,6,2015-12-26
2558,VLD,2,2015-12-26
2559,VPS,6,2015-12-26
2560,WRG,1,2015-12-26
2561,XNA,7,2015-12-26
2562,YAK,2,2015-12-26
2563,YUM,2,2015-12-26
